Fülle	0.5
Massen von	0.5
Unmenge	0.5
absolut	0.5
allseits	0.4
am eindeutigsten	0.5
am geringsten	-3
am höchsten	0.5
am kleinsten	-3
am meisten	1
am niedrigsten	-3
am tiefsten	0.5
am wenigsten	-3
auffallend	0.3
auffällig	0.3
ausgesprochen	0.3
ausschlaggebend	0.3
außer Zweifel	0.4
außergewöhnlich	0.5
außerordentlich	0.5
beachtlich	0.2
bedeutend	0.2
bedeutungslos	-0.5
bei weitem nicht	-3
beinahe	-1.5
belanglos	-0.5
bemerkenswert	0.3
bemerkenswerterweise	0.3
bescheiden	-0.3
besonders	0.4
bestimmt	0.2
beträchtlich	0.5
bis zu einem bestimmten Grad	-0.2
bis zu einem gewissen Grad	-0.2
bis zu einem gewissen Grade	-0.2
bloß	-0.5
dauernd	0.2
definitiv	0.2
derart	0.4
derartig	0.4
derlei	0.4
deutlich	0.3
doppelt	0.3
dramatisch	0.3
durch und durch	0.1
durchgängig	0.1
durchschlagend	0.4
echt	0.3
eher	-0.1
ein Haufen	0.3
ein Paar	-0.3
ein Paar von	-0.3
ein bisschen	-0.5
ein wenig	-0.5
eindeutig	0.4
eindrucksvoll	0.5
eine Menge	0.5
eine Menge von	0.5
eine Plethora an	0.5
eine Plethora von	0.5
eine Vielzahl an	0.5
eine Vielzahl von	0.5
eine bestimmte Menge an	-0.2
eine ganze Menge	0.5
eine gewisse Menge an	-0.2
einige	-0.3
einigermaßen	-0.3
einzig	0.5
endlos	0.4
enorm	0.5
entscheidend	0.3
erheblich	0.5
ernst 0.3
erstaunlich	0.3
etliche	0.2
etwas	-0.5
exponentiell	0.4
extra	0.3
extrem	0.4
fantastisch	0.3
fast	-1.5
fortwährend	0.2
furchtbar	0.4
ganz	0.5
gar nicht	-1.5
gelind	-0.3
gelinde	-0.3
gerade	0.3
geradezu	0.3
gering -2
geringer	-1.5
geringfügig	-0.5
geringste	-3
gesamt	0.5
gewaltig	0.5
gewiss	0.2
gewissermaßen	-0.3
gigantsich	0.5
gnadenlos	0.4
gravierend	0.4
grenzenlos	0.4
groß	0.3
großenteils	-0.2
großteils	-0.2
grundlegend	0.4
grundsätzlich	0.4
größer	0.2
größte	0.5
größtenteils	-0.2
gründlich	0.4
gänzlich	0.4
hauptsächlich	0.3
heillos	0.4
hoch	0.2
häufig	0.2
höchst	1
höchste	1
höchstem	1
höchsten	1
höchster	1
höher	0.1
höllisch	0.4
im Wesentlichen	0.2
immens	0.5
immerfort	0.2
innig	0.4
innigst	0.4
insbesondere	0.4
inständig	0.3
intensiv	0.3
irgendwie	-0.3
irr	0.4
irre	0.4
irrsinnig	0.5
jede Menge	0.5
kaum	-1.5
klar	0.3
klein	-0.5
kleiner	-1.5
kleinste	-3
knapp	-1.5
kolossal	0.5
komplett	0.4
konsequent	0.1
konsistent	0.1
konstant	0.2
kräftig	0.5
lau	-0.3
lediglich	-0.5
leicht	-0.5
leidenschaftlich	0.4
lächerlich	0.4
manche	0.2
marginal	-0.5
markant	0.3
massig	0.5
massiv	0.5
mehr	0.5
mehr als	0.5
mehr oder weniger	-0.3
mehrere	0.2
mehrfach	0.2
meist	-0.2
meiste	-0.2
meistens	-0.2
merklich	0.25
moderat	-0.3
monumental	0.5
mäßig	-0.3
